id,cfdi_nomina_id,tipo_deduccion,clave,concepto,importe,created_at,updated_at
1,1,004,099,Ajuste al neto,0.07,2026-01-15 20:59:52,2026-01-15 20:59:52
2,1,001,052,I.M.S.S.,104.71,2026-01-15 20:59:52,2026-01-15 20:59:52
3,1,002,045,I.S.R. mes,90.00,2026-01-15 20:59:52,2026-01-15 20:59:52
4,2,001,052,I.M.S.S.,104.71,2026-01-15 20:59:52,2026-01-15 20:59:52
5,2,002,045,I.S.R. mes,90.00,2026-01-15 20:59:52,2026-01-15 20:59:52
6,3,004,099,Ajuste al neto,0.14,2026-01-15 20:59:52,2026-01-15 20:59:52
7,3,001,052,I.M.S.S.,137.42,2026-01-15 20:59:52,2026-01-15 20:59:52
8,3,002,045,I.S.R. mes,446.66,2026-01-15 20:59:52,2026-01-15 20:59:52
9,4,001,052,I.M.S.S.,173.12,2026-01-15 20:59:52,2026-01-15 20:59:52
10,4,002,045,I.S.R. mes,653.48,2026-01-15 20:59:52,2026-01-15 20:59:52
11,6,004,099,Ajuste al neto,0.24,2026-01-15 20:59:52,2026-01-15 20:59:52
12,6,009,016,Préstamo infonavit CF,673.56,2026-01-15 20:59:52,2026-01-15 20:59:52
13,8,004,099,Ajuste al neto,0.14,2026-01-15 20:59:52,2026-01-15 20:59:52
14,8,001,052,I.M.S.S.,137.42,2026-01-15 20:59:52,2026-01-15 20:59:52
15,8,002,045,I.S.R. mes,446.66,2026-01-15 20:59:52,2026-01-15 20:59:52
16,10,001,052,I.M.S.S.,109.05,2026-01-15 20:59:52,2026-01-15 20:59:52
17,10,002,045,I.S.R. mes,108.81,2026-01-15 20:59:52,2026-01-15 20:59:52
18,10,009,016,Préstamo infonavit CF,661.26,2026-01-15 20:59:52,2026-01-15 20:59:52
19,12,004,099,Ajuste al neto,0.15,2026-01-15 20:59:52,2026-01-15 20:59:52
20,12,001,052,I.M.S.S.,136.81,2026-01-15 20:59:52,2026-01-15 20:59:52
21,12,002,045,I.S.R. mes,446.66,2026-01-15 20:59:52,2026-01-15 20:59:52
22,14,001,052,I.M.S.S.,67.32,2026-01-15 20:59:52,2026-01-15 20:59:52
23,14,002,045,I.S.R. mes,198.48,2026-01-15 20:59:52,2026-01-15 20:59:52
24,16,004,099,Ajuste al neto,0.13,2026-01-15 20:59:52,2026-01-15 20:59:52
25,16,001,052,I.M.S.S.,67.32,2026-01-15 20:59:52,2026-01-15 20:59:52
26,16,002,045,I.S.R. mes,198.48,2026-01-15 20:59:52,2026-01-15 20:59:52
27,17,004,099,Ajuste al neto,0.08,2026-01-15 20:59:52,2026-01-15 20:59:52
28,17,001,052,I.M.S.S.,88.35,2026-01-15 20:59:52,2026-01-15 20:59:52
29,17,002,045,I.S.R. mes,287.14,2026-01-15 20:59:52,2026-01-15 20:59:52
30,18,001,052,I.M.S.S.,111.29,2026-01-15 20:59:52,2026-01-15 20:59:52
31,18,002,045,I.S.R. mes,420.09,2026-01-15 20:59:52,2026-01-15 20:59:52
32,20,009,016,Préstamo infonavit CF,433.00,2026-01-15 20:59:52,2026-01-15 20:59:52
33,22,004,099,Ajuste al neto,0.08,2026-01-15 20:59:52,2026-01-15 20:59:52
34,22,001,052,I.M.S.S.,88.35,2026-01-15 20:59:52,2026-01-15 20:59:52
35,22,002,045,I.S.R. mes,287.14,2026-01-15 20:59:52,2026-01-15 20:59:52
36,24,004,099,Ajuste al neto,0.09,2026-01-15 20:59:52,2026-01-15 20:59:52
37,24,001,052,I.M.S.S.,70.11,2026-01-15 20:59:52,2026-01-15 20:59:52
38,24,002,045,I.S.R. mes,210.58,2026-01-15 20:59:52,2026-01-15 20:59:52
39,24,009,016,Préstamo infonavit CF,425.10,2026-01-15 20:59:52,2026-01-15 20:59:52
40,26,004,099,Ajuste al neto,0.08,2026-01-15 20:59:52,2026-01-15 20:59:52
41,26,001,052,I.M.S.S.,87.95,2026-01-15 20:59:52,2026-01-15 20:59:52
42,26,002,045,I.S.R. mes,287.14,2026-01-15 20:59:52,2026-01-15 20:59:52
43,29,004,099,Ajuste al neto,0.07,2026-01-15 20:59:52,2026-01-15 20:59:52
44,29,001,052,I.M.S.S.,49.16,2026-01-15 20:59:52,2026-01-15 20:59:52
45,29,002,045,I.S.R. mes,148.62,2026-01-15 20:59:52,2026-01-15 20:59:52
46,30,004,099,Ajuste al neto,0.03,2026-01-15 20:59:52,2026-01-15 20:59:52
47,30,001,052,I.M.S.S.,61.91,2026-01-15 20:59:52,2026-01-15 20:59:52
48,30,002,045,I.S.R. mes,209.96,2026-01-15 20:59:52,2026-01-15 20:59:52
49,32,009,016,Préstamo infonavit CF,248.71,2026-01-15 20:59:52,2026-01-15 20:59:52
50,34,001,052,I.M.S.S.,49.16,2026-01-15 20:59:52,2026-01-15 20:59:52
51,34,002,045,I.S.R. mes,148.62,2026-01-15 20:59:52,2026-01-15 20:59:52
52,36,004,099,Ajuste al neto,0.03,2026-01-15 20:59:52,2026-01-15 20:59:52
53,36,009,016,Préstamo infonavit CF,244.17,2026-01-15 20:59:52,2026-01-15 20:59:52
54,38,001,052,I.M.S.S.,48.93,2026-01-15 20:59:52,2026-01-15 20:59:52
55,38,002,045,I.S.R. mes,148.62,2026-01-15 20:59:52,2026-01-15 20:59:52
