id,cfdi_nomina_id,tipo_percepcion,clave,concepto,importe_gravado,importe_exento,created_at,updated_at
1,1,001,001,Sueldo,4179.98,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,001,001,Sueldo,4179.98,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,001,001,Sueldo,5344.22,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,001,001,Sueldo,6564.04,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,001,001,Sueldo,3903.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,001,001,Sueldo,3903.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,001,001,Sueldo,3903.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
8,8,001,001,Sueldo,5344.22,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
9,9,001,001,Sueldo,3903.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
10,10,001,001,Sueldo,4352.88,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
11,11,001,001,Sueldo,3903.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
12,12,001,001,Sueldo,5344.22,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
13,13,001,001,Sueldo,3903.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
14,14,001,001,Sueldo,2687.13,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
15,15,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
16,16,001,001,Sueldo,2687.13,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
17,17,001,001,Sueldo,3435.57,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
18,18,001,001,Sueldo,4219.74,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
19,19,001,001,Sueldo,2509.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
20,20,001,001,Sueldo,2509.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
21,21,001,001,Sueldo,2509.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
22,22,001,001,Sueldo,3435.57,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
23,23,001,001,Sueldo,2509.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
24,24,001,001,Sueldo,2798.28,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
25,25,001,001,Sueldo,2509.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
26,26,001,001,Sueldo,3435.57,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
27,27,001,001,Sueldo,2509.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
28,28,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
29,29,001,001,Sueldo,1908.65,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
30,30,001,001,Sueldo,2344.30,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
31,31,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
32,32,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
33,33,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
34,34,001,001,Sueldo,1908.65,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
35,35,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
36,36,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
37,37,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
38,38,001,001,Sueldo,1908.65,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
39,39,001,001,Sueldo,1575.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
