id,cfdi_pago_id,fecha_pago,forma_pago_p,moneda_p,tipo_cambio_p,monto,num_operacion,rfc_emisor_cta_ord,nom_banco_ord_ext,cta_ordenante,rfc_emisor_cta_ben,cta_beneficiario,tipo_cad_pago,cert_pago,cad_pago,sello_pago,created_at,updated_at
1,1,2025-12-31 00:01:00,04,MXN,1.000000,798.99,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,2025-12-31 14:24:41,03,MXN,1.000000,2922.16,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,2025-12-28 00:00:00,04,MXN,1.000000,161.50,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,2025-12-28 00:00:00,04,MXN,1.000000,1308.47,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,2025-12-30 10:48:30,03,MXN,1.000000,1752.26,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,2025-12-30 10:49:52,03,MXN,1.000000,4602.88,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,2026-01-05 15:32:23,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
8,8,2026-01-05 15:33:14,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
9,9,2026-01-05 15:34:22,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
10,10,2026-01-05 15:35:38,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
11,11,2026-01-05 15:36:49,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
12,12,2026-01-05 15:37:59,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
13,13,2026-01-05 15:39:02,03,MXN,1.000000,3815.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
14,14,2026-01-06 12:16:04,03,MXN,1.000000,5965.14,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
15,15,2026-01-06 11:59:31,03,MXN,1.000000,1356.04,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
16,16,2025-12-10 09:59:22,03,MXN,1.000000,335.24,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
17,17,2026-01-07 10:59:56,03,MXN,1.000000,1800.00,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
18,18,2026-01-07 16:17:44,03,MXN,1.000000,4748.98,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
19,19,2026-01-07 17:00:19,03,MXN,1.000000,4522.84,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
20,20,2026-01-05 09:19:48,03,MXN,1.000000,202327.20,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
21,21,2025-12-15 09:39:17,03,MXN,1.000000,25518.84,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
22,22,2026-01-06 12:00:46,03,MXN,1.000000,1356.04,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
23,23,2025-12-31 09:34:48,03,MXN,1.000000,335.24,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
24,24,2025-12-29 09:48:36,03,MXN,1.000000,15049.27,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
25,25,2025-12-22 10:15:31,03,MXN,1.000000,5255.38,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
26,26,2025-12-09 10:18:14,03,MXN,1.000000,6761.87,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
27,27,2025-12-17 18:01:05,03,MXN,1.000000,2434.84,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
28,28,2026-01-02 00:01:00,02,MXN,1.000000,549.01,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
29,29,2026-01-02 00:01:00,02,MXN,1.000000,798.99,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
30,30,2026-01-09 12:13:17,03,MXN,1.000000,3815.00,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
31,31,2026-01-09 12:14:29,03,MXN,1.000000,3815.00,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
32,32,2026-01-09 09:57:59,03,MXN,1.000000,2782.84,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
33,33,2026-01-08 15:12:24,03,MXN,1.000000,20414.84,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
34,34,2026-01-07 16:02:37,03,MXN,1.000000,1089.24,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
35,35,2025-12-17 09:41:53,03,MXN,1.000000,1089.24,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
36,36,2026-01-13 16:29:26,03,MXN,1.000000,613.64,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
37,37,2026-01-13 16:33:15,03,MXN,1.000000,22365.19,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
38,38,2025-12-03 17:03:18,02,MXN,1.000000,38974.84,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
39,39,2026-01-13 09:49:15,03,MXN,1.000000,1210.26,,,,,,,,,,,2026-01-15 20:59:52,2026-01-15 20:59:52
40,40,2025-12-18 12:09:45,01,MXN,1.000000,335.24,,,,,,,,,,,2026-01-15 20:59:53,2026-01-15 20:59:53
41,41,2025-11-12 12:19:14,01,MXN,1.000000,335.24,,,,,,,,,,,2026-01-15 20:59:53,2026-01-15 20:59:53
