id,cfdi_pago_documento_relacionado_id,base_dr,impuesto_dr,tipo_factor_dr,tasa_o_cuota_dr,importe_dr,tipo,created_at,updated_at
1,1,688.79,002,Tasa,0.160000,110.20,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
2,1,472.28,003,Tasa,0.030000,14.17,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
3,2,2519.10,002,Tasa,0.160000,403.06,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
4,3,139.23,002,Tasa,0.160000,22.27,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
5,4,1.11,002,Tasa,0.160000,0.18,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
6,5,1510.57,002,Tasa,0.160000,241.69,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
7,6,3968.00,002,Tasa,0.160000,634.88,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
8,7,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
9,8,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
10,9,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
11,10,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
12,11,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
13,12,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
14,13,3288.80,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
15,14,5142.36,002,Tasa,0.160000,822.78,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
16,15,1169.00,002,Tasa,0.160000,187.04,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
17,16,289.00,002,Tasa,0.160000,46.24,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
18,17,1551.72,002,Tasa,0.160000,248.28,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
19,18,4093.95,002,Tasa,0.160000,655.03,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
20,19,3899.00,002,Tasa,0.160000,623.84,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
21,20,174420.00,002,Tasa,0.160000,27907.20,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
22,21,21999.00,002,Tasa,0.160000,3519.84,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
23,22,1169.00,002,Tasa,0.160000,187.04,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
24,23,289.00,002,Tasa,0.160000,46.24,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
25,24,12973.51,002,Tasa,0.160000,2075.76,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
26,25,4530.50,002,Tasa,0.160000,724.88,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
27,26,5829.20,002,Tasa,0.160000,932.67,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
28,27,2099.00,002,Tasa,0.160000,335.84,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
29,28,473.28,002,Tasa,0.160000,75.73,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
30,28,324.53,003,Tasa,0.030000,9.73,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
31,29,688.79,002,Tasa,0.160000,110.20,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
32,29,472.28,003,Tasa,0.030000,14.17,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
33,30,3288.79,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
34,31,3288.79,002,Tasa,0.160000,526.21,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
35,32,2399.00,002,Tasa,0.160000,383.84,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
36,33,17599.00,002,Tasa,0.160000,2815.84,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
37,34,939.00,002,Tasa,0.160000,150.24,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
38,35,939.00,002,Tasa,0.160000,150.24,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
39,36,529.00,002,Tasa,0.160000,84.64,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
40,37,19280.34,002,Tasa,0.160000,3084.85,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
41,38,33599.00,002,Tasa,0.160000,5375.84,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
42,38,1043.33,002,Tasa,0.160000,166.93,traslado,2026-01-15 20:59:52,2026-01-15 20:59:52
43,40,289.00,002,Tasa,0.160000,46.24,traslado,2026-01-15 20:59:53,2026-01-15 20:59:53
44,40,289.00,002,Tasa,0.160000,46.24,traslado,2026-01-15 20:59:53,2026-01-15 20:59:53
