id,cfdi_pago_id,total_retenciones_iva,total_retenciones_isr,total_retenciones_ieps,total_traslados_base_iva16,total_traslados_impuesto_iva16,total_traslados_base_iva8,total_traslados_impuesto_iva8,total_traslados_base_iva0,total_traslados_impuesto_iva0,total_traslados_base_iva_exento,monto_total_pagos,created_at,updated_at
1,1,,,,688.79,110.20,,,,,,798.99,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,,,,2519.10,403.06,,,,,,2922.16,2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,,,,139.23,22.27,,,,,,161.50,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,,,,1127.99,180.48,,,,,,1308.47,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,,,,1510.57,241.69,,,,,,1752.26,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,,,,3968.00,634.88,,,,,,4602.88,2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
8,8,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
9,9,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
10,10,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
11,11,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
12,12,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
13,13,,,,3288.80,526.21,,,,,,3815.01,2026-01-15 20:59:52,2026-01-15 20:59:52
14,14,,,,5142.36,822.78,,,,,,5965.14,2026-01-15 20:59:52,2026-01-15 20:59:52
15,15,,,,1169.00,187.04,,,,,,1356.04,2026-01-15 20:59:52,2026-01-15 20:59:52
16,16,,,,289.00,46.24,,,,,,335.24,2026-01-15 20:59:52,2026-01-15 20:59:52
17,17,,,,1551.72,248.28,,,,,,1800.00,2026-01-15 20:59:52,2026-01-15 20:59:52
18,18,,,,4093.95,655.03,,,,,,4748.98,2026-01-15 20:59:52,2026-01-15 20:59:52
19,19,,,,3899.00,623.84,,,,,,4522.84,2026-01-15 20:59:52,2026-01-15 20:59:52
20,20,,,,174420.00,27907.20,,,,,,202327.20,2026-01-15 20:59:52,2026-01-15 20:59:52
21,21,,,,21999.00,3519.84,,,,,,25518.84,2026-01-15 20:59:52,2026-01-15 20:59:52
22,22,,,,1169.00,187.04,,,,,,1356.04,2026-01-15 20:59:52,2026-01-15 20:59:52
23,23,,,,289.00,46.24,,,,,,335.24,2026-01-15 20:59:52,2026-01-15 20:59:52
24,24,,,,12973.51,2075.76,,,,,,15049.27,2026-01-15 20:59:52,2026-01-15 20:59:52
25,25,,,,4530.50,724.88,,,,,,5255.38,2026-01-15 20:59:52,2026-01-15 20:59:52
26,26,,,,5829.20,932.67,,,,,,6761.87,2026-01-15 20:59:52,2026-01-15 20:59:52
27,27,,,,2099.00,335.84,,,,,,2434.84,2026-01-15 20:59:52,2026-01-15 20:59:52
28,28,,,,473.28,75.73,,,,,,549.01,2026-01-15 20:59:52,2026-01-15 20:59:52
29,29,,,,688.79,110.20,,,,,,798.99,2026-01-15 20:59:52,2026-01-15 20:59:52
30,30,,,,3288.79,526.21,,,,,,3815.00,2026-01-15 20:59:52,2026-01-15 20:59:52
31,31,,,,3288.79,526.21,,,,,,3815.00,2026-01-15 20:59:52,2026-01-15 20:59:52
32,32,,,,2399.00,383.84,,,,,,2782.84,2026-01-15 20:59:52,2026-01-15 20:59:52
33,33,,,,17599.00,2815.84,,,,,,20414.84,2026-01-15 20:59:52,2026-01-15 20:59:52
34,34,,,,939.00,150.24,,,,,,1089.24,2026-01-15 20:59:52,2026-01-15 20:59:52
35,35,,,,939.00,150.24,,,,,,1089.24,2026-01-15 20:59:52,2026-01-15 20:59:52
36,36,,,,529.00,84.64,,,,,,613.64,2026-01-15 20:59:52,2026-01-15 20:59:52
37,37,,,,19280.34,3084.85,,,,,,22365.19,2026-01-15 20:59:52,2026-01-15 20:59:52
38,38,,,,33599.00,5375.84,,,,,,38974.84,2026-01-15 20:59:52,2026-01-15 20:59:52
39,39,,,,1043.33,166.93,,,,,,1210.26,2026-01-15 20:59:52,2026-01-15 20:59:52
40,40,,,,289.00,46.24,,,,,,335.24,2026-01-15 20:59:53,2026-01-15 20:59:53
41,41,,,,289.00,46.24,,,,,,335.24,2026-01-15 20:59:53,2026-01-15 20:59:53
