id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,2025_12_06_011716_create_telescope_entries_table,1
5,2025_12_06_020513_create_companies_table,1
6,2025_12_06_020514_add_uuid_to_companies_table,1
7,2025_12_06_020515_create_cfdi_emisors_table,1
8,2025_12_06_020515_create_cfdi_receptors_table,1
9,2025_12_06_020516_create_cfdis_table,1
10,2025_12_06_020517_create_cfdi_conceptos_table,1
11,2025_12_06_020518_create_cfdi_impuestos_table,1
12,2025_12_06_020519_create_cfdi_complementos_table,1
13,2025_12_09_000000_create_user_invitations_table,1
14,2025_12_09_120000_create_sat_download_logs_table,1
15,2025_12_09_120001_create_sat_constancias_table,1
16,2025_12_09_120002_create_sat_opiniones_table,1
17,2025_12_11_120000_create_sat_consultas_table,1
18,2025_12_12_010003_create_cfdi_relacionados_table,1
19,2025_12_12_010004_create_timbre_fiscal_digitales_table,1
20,2025_12_12_010005_create_informacion_aduanera_table,1
21,2025_12_12_010006_create_cfdi_addendas_table,1
22,2025_12_13_030000_update_sat_consultas_for_direct_service,1
23,2025_12_22_000001_create_exports_table,1
24,2025_12_23_202353_create_notifications_table,1
25,2025_12_23_202700_fix_notifications_data_column,1
26,2025_12_25_190728_add_soap_fields_to_cfdis_table,1
27,2025_12_27_000000_add_performance_indexes_to_cfdis,1
28,2025_12_28_000000_add_source_column_to_cfdis_table,1
29,2025_12_29_000001_create_xml_exports_table,1
30,2026_01_08_000001_add_user_id_to_companies_and_fix_rfc_uniqueness,1
31,2026_01_08_000002_fix_cfdis_uuid_unique_constraint,1
32,2026_01_09_153000_create_cfdi_tax_tables,1
33,2026_01_09_154000_optimize_cfdi_indexes,1
34,2026_01_13_200000_create_cfdi_pagos_tables,1
35,2026_01_13_200001_create_cfdi_nominas_tables,1
36,2026_01_15_021246_add_cs_and_sat_counts_to_sat_consultas_table,1
37,2026_01_15_022347_add_batch_id_to_sat_consultas_table,1
